label,n_i,ell_i,j_i,n_f,ell_f,j_f,delta_E_eV,wavelength_nm
3p_3/2 -> 2s_1/2,3,1,1.5,2,0,0.5,1.889729495131673,656.0949530216294
3d_3/2 -> 2p_1/2,3,2,1.5,2,1,0.5,1.889729495131673,656.0949530216294
3s_1/2 -> 2p_1/2,3,0,0.5,2,1,0.5,1.8897160780652287,656.0996113243664
3p_1/2 -> 2s_1/2,3,1,0.5,2,0,0.5,1.8897160780652287,656.0996113243664
3d_5/2 -> 2p_3/2,3,2,2.5,2,1,1.5,1.8896886848879046,656.1091222311835
3d_3/2 -> 2p_3/2,3,2,1.5,2,1,1.5,1.8896842125324231,656.1106750584812
3s_1/2 -> 2p_3/2,3,0,0.5,2,1,1.5,1.8896707954659788,656.1153335844758
