K_i,K_f,q,target_nonzero_count,s3_nonzero_count,intertwining_error,max_target_entry_abs,max_s3_entry_abs
2,1,-1,5,8,6.106226635438361e-16,1.0,0.7745966692414834
2,1,0,5,10,3.3306690738754696e-16,1.0,0.7733966621339738
2,1,1,5,8,6.106226635438361e-16,1.0,0.7745966692414834
3,2,-1,13,25,3.469446951953614e-16,1.0,0.8605284165599513
3,2,0,13,28,2.7755575615628914e-16,1.0,0.7564444797434118
3,2,1,13,25,3.469446951953614e-16,1.0,0.8605284165599513
4,3,-1,25,56,5.447031714567174e-16,1.0,0.9112817539725525
4,3,0,25,60,2.5326962749261384e-16,1.0,0.7740524148285202
4,3,1,25,56,5.447031714567174e-16,1.0,0.9112817539725525
